year,country,continent,pop,smoke_pct,lung_cancer_pct,pollution
1990,Afghanistan,Asia,12412311,3.1186393999999997,0.012736319403529,46.18469203
1990,Albania,Europe,3286542,24.2299502,0.032675451884339,23.76174036
1990,Algeria,Africa,25758872,18.8900672,0.011763009573498,29.42394139
1990,Andorra,Europe,54508,36.6421187,0.060861811710164,13.43164433
1990,Angola,Africa,11848385,12.4647002,0.01390787794763299,27.70543939
1990,Antigua and Barbuda,North America,62533,6.804732199999999,0.010462149302309,16.16686573
1990,Argentina,South America,32618648,30.364087499999997,0.034433529384744,14.78056927
1990,Armenia,Europe,3538164,30.526125599999997,0.044058749432398,29.97516234
1990,Australia,Oceania,17065100,29.302538500000004,0.059913100760958,7.13381476
1990,Austria,Europe,7677850,35.3890233,0.043937784249933,20.2922777
1990,Azerbaijan,Europe,7175200,21.7749156,0.030616086551788,20.95027928
1990,Bahamas,North America,256227,7.450599700000001,0.01842246944701,15.34634343
1990,Bahrain,Asia,495927,16.77078,0.037292961371614,60.45005285
1990,Bangladesh,Asia,103171957,28.1485916,0.00902383472347333,50.72902271
1990,Barbados,North America,260933,10.3721398,0.010398670460099,19.97328193
1990,Belarus,Europe,10189348,34.1311017,0.040867500007963,24.10854794
1990,Belgium,Europe,9967379,35.3962407,0.06629437555882099,19.98772132
1990,Belize,North America,187554,13.1752764,0.01066477205718799,20.97871614
1990,Benin,Africa,4978489,10.1786633,0.00929892822485027,44.76395741
1990,Bhutan,Asia,530801,11.3702707,0.00596831981339674,33.74744198
1990,Bolivia,South America,6864839,13.420680099999998,0.012528150624955,45.25256051
1990,Bosnia and Herzegovina,Europe,4463422,29.9035227,0.04317324912389,35.06039474
1990,Botswana,Africa,1286756,23.5521948,0.018354346962716,23.44843535
1990,Brazil,South America,149003225,33.1104899,0.017968970514833,13.94336005
1990,Brunei Darussalam,Asia,258714,26.6141201,0.05027965877613,7.63209536
1990,Bulgaria,Europe,8718289,46.0705347,0.034737254824014,26.80704549
1990,Burkina Faso,Africa,8811033,11.8482266,0.00776883127768409,49.93887751
1990,Burundi,Africa,5438959,15.3410143,0.00771216917577816,32.9135161
1990,Cabo Verde,Africa,337953,10.0637306,0.010714171671687,46.92074853
1990,Cambodia,Asia,8975597,25.4625239,0.02313606316176,26.52758126
1990,Cameroon,Africa,11780086,11.8496699,0.01054412706188299,65.01353774
1990,Canada,North America,27691138,32.483823699999995,0.081972985412604,9.62772387
1990,Central African Republic,Africa,2806740,10.8442355,0.013914658378638,42.77035098
1990,Chad,Africa,5963250,13.0205303,0.00759676287481485,57.65303331
1990,Chile,South America,13274617,39.5104528,0.020372302107716,20.05946149
1990,China,Asia,1135185000,33.396704,0.03233901068876799,46.3610224
1990,Colombia,South America,33102569,23.0729064,0.016261350191564,28.05579471
1990,Comoros,Africa,411598,15.0239311,0.00730867815348273,16.05157405
1990,Congo,Africa,2356740,8.4382895,0.017499047730099,34.63575139
1990,Costa Rica,North America,3119436,21.1297704,0.01248541676709,15.83234672
1990,Croatia,Europe,4777368,42.0150015,0.06175138883126999,25.01216467
1990,Cuba,North America,10596986,33.1437674,0.036825533541228,18.45298354
1990,Cyprus,Europe,766616,35.8682984,0.021930458951415,16.61730874
1990,Czech Republic,Europe,10333355,36.2524975,0.05990622179868099,25.06142304
1990,C̫te d'Ivoire,Africa,11924873,12.064741,0.011192473294671,55.87688346
1990,Democratic Republic of the Congo,Africa,34612023,11.7117962,0.013572372114594,36.88515537
1990,Denmark,Europe,5140939,44.6067235,0.07110291003144201,16.26268242
1990,Djibouti,Africa,590393,21.7030021,0.00877383878404407,36.95977057
1990,Dominica,North America,70422,11.1877011,0.017091043189876,17.26807598
1990,Dominican Republic,North America,7133491,13.2445323,0.011407120235158,14.93522178
1990,Ecuador,South America,10230931,16.4145753,0.00857958298961811,20.4258358
1990,Egypt,Africa,56134478,20.019709,0.00679597200705554,66.10346205
1990,El Salvador,North America,5270074,7.6011348,0.00915569961260683,28.17916187
1990,Equatorial Guinea,Africa,419188,13.3943277,0.01241312538192299,44.75578603
1990,Eritrea,Africa,2258649,8.1028422,0.00636988888566235,43.43810819
1990,Estonia,Europe,1569174,32.3052987,0.04567414152455,9.376145673
1990,Eswatini,Africa,822423,12.0929534,0.016234126715347,24.86624214
1990,Ethiopia,Africa,47887864,6.8601678,0.00595595752502987,29.56108572
1990,Fiji,Oceania,728575,34.0615481,0.010352509244732,6.206106751
1990,Finland,Europe,4986431,30.2769695,0.05065402356868299,8.348198932
1990,France,Europe,58235716,37.9425974,0.044200247603929,17.62128013
1990,Gabon,Africa,949493,10.8521579,0.018572570926465,34.82253643
1990,Gambia,Africa,955595,18.8841598,0.00573732683407567,58.50607034
1990,Georgia,Europe,4802000,26.483788800000003,0.037047452951056,16.51429462
1990,Germany,Europe,79433029,32.7286293,0.05159904100340699,19.56271352
1990,Ghana,Africa,14773274,6.548547200000001,0.00781913073752498,56.95591036
1990,Greece,Europe,10196792,43.0031265,0.055056342329568,19.25609819
1990,Grenada,North America,96328,10.7682624,0.015524495380741,19.37454711
1990,Guatemala,North America,9050115,14.1054991,0.00907582264443735,38.07066952
1990,Guinea,Africa,6352282,16.2195413,0.00805766150214885,53.13878417
1990,Guinea-Bissau,Africa,975265,3.9253717,0.01294817139102,55.42846252
1990,Guyana,South America,743306,13.9779987,0.008510066430813,20.37930582
1990,Haiti,North America,7037915,11.7739864,0.013351545501054,16.02286353
1990,Honduras,North America,4955302,17.678421999999998,0.014111425145462,26.128296
1990,Hungary,Europe,10373988,37.850781100000006,0.059519199742505,24.46655611
1990,Iceland,Europe,254826,30.7859208,0.056359393591142,6.8137249539999996
1990,India,Asia,873277799,22.517221000000003,0.00638243694872464,68.35674452
1990,Indonesia,Asia,181413398,28.4533918,0.01680813981993,25.47465516
1990,Iran,Asia,56366212,14.6638837,0.011267878171352,37.68106121
1990,Iraq,Asia,17419113,25.768312,0.015984309018694,52.19276441
1990,Ireland,Europe,3513974,33.6634153,0.048784933012669,12.07766748
1990,Israel,Asia,4660000,32.1634387,0.02747066242597,21.35171562
1990,Italy,Europe,56719240,32.6755999,0.051637660363113,25.62200138
1990,Jamaica,North America,2419901,17.843398999999998,0.01709977315394,13.84878778
1990,Japan,Asia,123478000,35.0736107,0.056574879939186,12.62133425
1990,Jordan,Asia,3565888,30.2059413,0.012966647307373,28.20170431
1990,Kazakhstan,Asia,16348000,28.0797103,0.049015310620637,19.8377314
1990,Kenya,Africa,23724574,16.7351925,0.00432942838701425,21.4415406
1990,Kiribati,Oceania,72394,46.9154737,0.01948935152082299,7.846731699
1990,Kuwait,Asia,2095350,26.0206506,0.012858296661038,59.21334896
1990,Kyrgyz Republic,Asia,4391200,23.7599995,0.030427941681955,20.70662107
1990,Lao People's Democratic Republic,Asia,4258471,24.3652224,0.024974344463353,25.06854666
1990,Latvia,Europe,2663151,36.9208614,0.044766081332126,19.81964739
1990,Lebanon,Asia,2803032,27.3091055,0.021607721363483,25.62659908
1990,Lesotho,Africa,1703757,16.3489916,0.01216625921854,31.17889452
1990,Liberia,Africa,2075917,9.136842,0.00898371570539327,47.52936879
1990,Libya,Africa,4436663,22.0143981,0.020391645998549,36.90782069
1990,Lithuania,Europe,3697838,30.2213705,0.042386196573936,16.70493014
1990,Luxembourg,Europe,381850,33.911942,0.057005285684707,15.31730794
1990,Madagascar,Africa,11598647,22.0040017,0.00658518271212156,15.91037817
1990,Malawi,Africa,9404499,13.4865124,0.00513568433355111,23.82324073
1990,Malaysia,Asia,18029824,28.0980026,0.016698297478956,26.50555182
1990,Maldives,Asia,223159,29.9816596,0.0128604958681,19.710704109999998
1990,Mali,Africa,8449915,9.278445,0.0058710031574197696,58.34118691
1990,Malta,Europe,354170,33.846605600000004,0.032124819384804,15.63436457
1990,Marshall Islands,Oceania,47265,21.2150511,0.026555385182647,8.250008191
1990,Mauritania,Africa,2034347,22.9789665,0.01027221388855099,64.80200854
1990,Mauritius,Africa,1058775,26.3494181,0.01446327394628899,14.18967182
1990,Mexico,North America,83943135,30.9920185,0.01431209654671199,31.13242397
1990,Micronesia,Oceania,96304,46.5430899,0.02716300889291899,8.752176829
1990,Monaco,Europe,29433,33.9311851,0.069403273810224,9.610765252
1990,Mongolia,Asia,2184139,26.0269605,0.039417187946635,24.6605291
1990,Montenegro,Europe,606372,36.6580872,0.06138296182599,31.47543416
1990,Morocco,Africa,24807461,17.371136800000002,0.01522956810080299,27.35473221
1990,Mozambique,Africa,12987292,15.0030692,0.00493586395854821,21.87052255
1990,Myanmar,Asia,41335188,38.191326,0.024006045280726,33.87374649
1990,Namibia,Africa,1432899,21.8552102,0.0060581494183774,24.59957998
1990,Nauru,Oceania,9506,44.3079434,0.039879605069001,4.966484342
1990,Nepal,Asia,18905480,39.6925297,0.00690143830543957,63.95046583
1990,Netherlands,Europe,14951510,40.7778835,0.068312642263179,18.88671832
1990,New Zealand,Oceania,3329800,28.0081403,0.05306553100227199,6.660102844
1990,Nicaragua,North America,4173435,16.882501899999998,0.00761217350110135,19.58976537
1990,Niger,Africa,8026592,6.8918754,0.00792384237786874,70.57084607
1990,Nigeria,Africa,95212454,7.6104771,0.00586251600169855,69.38370358
1990,North Macedonia,Europe,1996218,39.04724,0.034736978680826,43.68895106
1990,Norway,Europe,4241473,39.5993694,0.041247808005574003,11.22707335
1990,Oman,Asia,1812158,14.2130636,0.00907458632096297,42.99304088
1990,Pakistan,Asia,107647918,24.6299147,0.013868004649431,58.32991586
1990,Palau,Oceania,15063,24.2642224,0.043496014839926,6.408742992
1990,Panama,North America,2470946,13.9091581,0.01545677866049399,14.73564064
1990,Papua New Guinea,Oceania,4615843,36.5350095,0.017547491719357,14.34352286
1990,Paraguay,South America,4223413,27.6340456,0.010983442946541,14.84547962
1990,Peru,South America,22071433,8.3252503,0.01523069284111799,33.79548313
1990,Philippines,Asia,61895169,35.3331645,0.023268027091369,29.35056981
1990,Poland,Europe,38110782,41.1484427,0.049552643090131,32.07273612
1990,Portugal,Europe,9983218,28.7121723,0.022246008855274,10.97179053
1990,Qatar,Asia,476275,17.356849099999998,0.017192521453147,78.15907695
1990,Republic of Korea,Asia,31581170,31.2837676,0.030293709536654,24.11689524
1990,Republic of Moldova,Europe,2969097,21.9573162,0.035391633938203,21.23896021
1990,Romania,Europe,23201835,34.3247539,0.031871907054473,21.24975607
1990,Russian Federation,Asia,147969407,32.632665100000004,0.040652938603642,17.98092562
1990,Rwanda,Africa,7288883,14.9948446,0.00836499704038363,34.6455356
1990,Saint Kitts and Nevis,North America,40260,6.553403200000001,0.013744371127585,8.143949594
1990,Saint Lucia,North America,138019,13.860082600000002,0.014241411340342,19.43783139
1990,Saint Vincent and the Grenadines,North America,107489,12.7583801,0.00975318110468877,19.57602693
1990,Samoa,Oceania,162797,30.939763399999997,0.011581547739268,9.11147479
1990,San Marino,Europe,24124,32.4511339,0.049923372447979,11.7241797
1990,Sao Tome and Principe,Africa,119211,3.8052181,0.013111798591352,32.62109867
1990,Saudi Arabia,Asia,16233786,10.4381362,0.00745256743108944,50.42035746
1990,Senegal,Africa,7526306,15.6308099,0.010210067867336,60.51160461
1990,Serbia,Europe,7586000,36.40734,0.046092315679616,34.16061757
1990,Seychelles,Africa,69507,25.9066798,0.01879837439828,14.63487476
1990,Sierra Leone,Africa,4319763,22.6728492,0.00903919564081274,50.585684379999996
1990,Singapore,Asia,3047132,20.1061616,0.05919352398604999,20.74837366
1990,Slovak Republic,Europe,5299187,33.7376605,0.06985626582571701,26.13342791
1990,Slovenia,Europe,1998161,28.2108087,0.046258704215403,25.5161941
1990,Solomon Islands,Oceania,311869,35.0090685,0.029120944044542,8.762069607
1990,Somalia,Africa,7225089,13.6832757,0.0063630225702639,25.99807867
1990,South Africa,Africa,36800507,31.8946026,0.022837986237589,28.54937837
1990,South Sudan,Africa,5492620,15.1694691,0.00934107430264439,36.50629125
1990,Spain,Europe,38867322,41.2299089,0.051355641158875,13.33691043
1990,Sri Lanka,Asia,17325769,23.3433842,0.00799625460323577,21.74607786
1990,Sudan,Africa,20147592,12.2117032,0.0075702302728194,48.55955614
1990,Suriname,South America,405169,26.8194474,0.013596222424143,26.70126555
1990,Sweden,Europe,8558835,24.7034805,0.02526508451531299,9.290257871
1990,Switzerland,Europe,6715519,33.4036986,0.057112469297521,17.23377985
1990,Syrian Arab Republic,Asia,12446168,29.7084961,0.010483139321783,32.37551564
1990,Tajikistan,Asia,5283811,16.489012,0.021996506908662,30.00126078
1990,Thailand,Asia,56558196,29.3465601,0.029872283640969,37.04752307
1990,Timor-Leste,Asia,737814,35.3060938,0.015806893365581,16.02069465
1990,Togo,Africa,3774310,13.358673,0.00971485717258478,47.89085408
1990,Tonga,Oceania,95069,33.471825700000004,0.02607521668216899,8.97207773
1990,Trinidad and Tobago,North America,1221121,21.0074097,0.012489790759842,19.09986247
1990,Tunisia,Africa,8242509,27.3744957,0.019411945378514,29.46628088
1990,Turkey,Asia,53921758,35.8346378,0.03967602878536,25.90980167
1990,Turkmenistan,Asia,3683978,22.0268572,0.019481559595045,22.80794133
1990,Tuvalu,Oceania,8910,30.2756659,0.023714496783537,4.686239629
1990,Uganda,Africa,17354395,11.5670797,0.0055678302213079,34.47497471
1990,Ukraine,Europe,51891400,35.554419100000004,0.06026688315198,21.63475258
1990,United Arab Emirates,Asia,1828437,17.1947976,0.017811503186237,43.1190912
1990,United Kingdom,Europe,57247586,32.5879913,0.067194821839636,16.58562429
1990,United Republic of Tanzania,Africa,25203848,16.188454099999998,0.00778253743325775,21.22095431
1990,United States of America,North America,249623000,26.5693077,0.099047756170792,12.78280811
1990,Uruguay,South America,3109598,34.082676299999996,0.050348154990491,9.970113182
1990,Uzbekistan,Asia,20510000,9.5472688,0.020671445547006,32.41841349
1990,Vanuatu,Oceania,146575,25.714545500000003,0.019813266291244,10.93134528
1990,Venezuela,South America,19632665,26.2337719,0.019995981047633,18.94545596
1990,Vietnam,Asia,67988855,29.4386182,0.02164964665936,25.62256417
1990,Yemen,Asia,11709987,20.8063418,0.00929535445754617,45.46989123
1990,Zambia,Africa,8036849,15.6809658,0.00934273311182282,25.65327388
1990,Zimbabwe,Africa,10432409,18.1278032,0.013367449661093,23.43544798
